"Test Case ID","Test Case Title","Description","Pre-conditions","Test Steps","Expected Result","Date Tested","Status"
"TC-035","Property Archive Rule","Verify that property archive/removal preserves operational history.","Owner is logged in. Property exists with units, leases, invoices, or expenses.","1. Navigate to /owner/properties. 2. Open a property with history. 3. Attempt to remove/archive property. 4. Confirm action if allowed.","Property is archived or protected according to business rules. Historical records are not deleted.","","Not Run"
"TC-036","Unit Archive Rule","Verify that unit archive/removal respects active lease and history rules.","Owner is logged in. One unit has an active lease and another unit has no active lease.","1. Open property detail page. 2. Attempt to archive/remove occupied unit. 3. Attempt to archive/remove vacant unit. 4. Confirm allowed action.","Occupied unit with active lease cannot be removed incorrectly. Vacant/history-safe unit is archived or removed according to rules.","","Not Run"
"TC-037","Manager Leaves Property Assignment","Verify that a manager can leave an active property assignment.","Manager is logged in and has at least one active assigned property.","1. Navigate to /manager/dashboard. 2. Locate assigned property. 3. Click leave/stop managing. 4. Confirm action.","Manager assignment is ended. Property no longer appears in manager's assigned property list.","","Not Run"
"TC-038","Notification Mark Read","Verify that user can mark one notification as read.","User is logged in and has at least one unread notification.","1. Navigate to notifications page. 2. Click mark as read on one alert. 3. Refresh the page.","Selected alert is marked as read. It no longer appears as new/unread.","","Not Run"
"TC-039","Notification Mark All Read","Verify that user can mark all open notifications as read.","User is logged in and has multiple unread notifications.","1. Navigate to notifications page. 2. Click mark all as read. 3. Refresh the page.","All open notifications for that user are marked as read.","","Not Run"
"TC-040","Full Demo Seed Validation","Verify that the protected demo seed creates realistic test data.","Developer has test database configured and ALLOW_DEMO_DB_RESET=true is intentionally set.","1. Run npm run db:push. 2. Run ALLOW_DEMO_DB_RESET=true npm run db:seed:demo. 3. Log in with owner, manager, and tenant demo accounts. 4. Check properties, leases, invoices, payments, expenses, and alerts.","Demo database is reset and populated with rich test data. All demo users can log in with Password123!. Core pages display realistic records.","","Not Run"
"TC-041","Login Form Validation","Verify that the login UI validates invalid email and too-short password before submitting.","Application is running. User is on /login.","1. Navigate to /login. 2. Enter invalid-email in Email field. 3. Enter 123 in Mật khẩu field. 4. Click Đăng nhập ngay.","Validation errors are shown for invalid email and short password. Login action is not completed.","","Not Run"
"TC-042","Google Login Button Hidden When Unconfigured","Verify that Google login button is hidden when Google OAuth environment variables are missing.","Application is running without GOOGLE_CLIENT_ID or GOOGLE_CLIENT_SECRET configured.","1. Navigate to /login. 2. Inspect the login form below the manual login button.","The Tiếp tục với Google button is not displayed. Manual login remains available.","","Not Run"
"TC-043","Google Login Start Missing Credentials","Verify that direct Google start route handles missing Google credentials safely.","Application is running without Google OAuth credentials configured.","1. Navigate directly to /auth/google/start.","User is redirected back to /login with an error explaining that Google sign-in is not configured or cannot start.","","Not Run"
"TC-044","Google Login Button Visible When Configured","Verify that Google login option appears when Google OAuth credentials are configured.","Application is running with GOOGLE_CLIENT_ID and GOOGLE_CLIENT_SECRET configured. GOOGLE_REDIRECT_URI is correct if used.","1. Navigate to /login. 2. Locate the Hoặc separator. 3. Locate Tiếp tục với Google button.","Google login button is visible and links to /auth/google/start.","","Not Run"
"TC-045","Google OAuth Redirect Start","Verify that clicking Google login starts OAuth redirect.","Application is running with valid Google OAuth credentials and redirect URI configured.","1. Navigate to /login. 2. Click Tiếp tục với Google.","Browser is redirected to Google OAuth account selection page with scope openid email profile and valid state parameter.","","Not Run"
"TC-046","Google Callback Missing Parameters","Verify that Google callback handles missing code/state safely.","Application is running.","1. Navigate directly to /auth/google/callback. 2. Observe redirect result.","User is redirected to /login with error message Google không trả về đủ thông tin đăng nhập.","","Not Run"
"TC-047","Google New User Onboarding","Verify that a first-time Google user is sent to onboarding to choose role and phone.","Google OAuth is configured. Google account email does not already exist in users or auth_accounts.","1. Click Tiếp tục với Google. 2. Complete Google account selection. 3. Return through callback. 4. On onboarding page, select role and enter phone number. 5. Submit onboarding.","New user account is created, linked to Google auth account, session is created, and user is redirected to the selected role dashboard.","","Not Run"
"TC-048","Google Existing Email Account Link","Verify that Google login can link to an existing manual account with the same email.","Google OAuth is configured. Manual user exists with same email as Google account and is not already linked.","1. Click Tiếp tục với Google. 2. Select Google account with same email as existing manual account. 3. Return through callback. 4. Confirm account linking on onboarding page.","Google auth account is linked to existing user. User is logged in and redirected to the existing role dashboard.","","Not Run"
